text,command
ложись на пол,lie_down
робот лежать,lie_down
лежать сейчас,lie_down
прими положение лежа,lie_down
ляг на землю,lie_down
упади на пол,lie_down
панда лежать,lie_down
панда ложись,lie_down
робот ляг,lie_down
лежать панда,lie_down
ляг робот,lie_down
пожалуйста ложись,lie_down
ляг пожалуйста,lie_down
давай лежать,lie_down
ну-ка ложись,lie_down
а ну лежать,lie_down
эй ложись,lie_down
ты ложись,lie_down
полежи,lie_down
повались,lie_down
быстро лежать,lie_down
панда давай ложись,lie_down
робот пожалуйста ляг,lie_down
ложись уже,lie_down
ну лежать,lie_down
кувырок,rotate
вращайся,rotate
сделай кувырок,rotate
перекувырнись,rotate
кувыркайся,rotate
кувырок вперед,rotate
кувырок назад,rotate
робот кувырок,rotate
вращайся робот,rotate
сделай кувырок сейчас,rotate
перекувырнись вперед,rotate
выполни кувырок,rotate
панда кувырок,rotate
панда вращайся,rotate
робот перекувырнись,rotate
кувырок панда,rotate
вращайся робот,rotate
пожалуйста кувырок,rotate
вращайся пожалуйста,rotate
давай кувырок,rotate
ну-ка кувырок,rotate
а ну вращайся,rotate
эй кувырок,rotate
ты вращайся,rotate
покрутись,rotate
перевернись,rotate
быстро кувырок,rotate
панда давай кувырок,rotate
робот пожалуйста вращайся,rotate
кувыркайся уже,rotate
ну вращайся,rotate
бегать,run
пошли,run
беги,run
побеги,run
бегай,run
беги быстро,run
побеги вперед,run
робот бегать,run
пошли робот,run
беги ко мне,run
побеги туда,run
бегай по кругу,run
панда беги,run
панда бегать,run
робот побеги,run
беги панда,run
бегать робот,run
пожалуйста беги,run
бегай пожалуйста,run
давай беги,run
ну-ка беги,run
а ну бегать,run
эй беги,run
ты беги,run
быстро бегать,run
бегом,run
беги вперед,run
панда давай беги,run
робот пожалуйста бегай,run
беги уже,run
ну беги,run
смирно,stop_running
остановись бег,stop_running
прекрати бегать,stop_running
стоп бег,stop_running
хватит бегать,stop_running
перестань бегать,stop_running
смирно робот,stop_running
остановись бег сейчас,stop_running
прекрати бегать сейчас,stop_running
панда смирно,stop_running
панда остановись,stop_running
робот стоп бег,stop_running
смирно панда,stop_running
стоп робот,stop_running
пожалуйста остановись бег,stop_running
хватит бегать пожалуйста,stop_running
давай стоп бег,stop_running
ну-ка стоп бег,stop_running
а ну хватит бегать,stop_running
эй остановись бег,stop_running
ты остановись бег,stop_running
прекрати бег,stop_running
стой не бегай,stop_running
быстро остановись,stop_running
панда давай смирно,stop_running
робот пожалуйста остановись бег,stop_running
остановись уже,stop_running
ну хватит бегать,stop_running
держи джойстик,reconnect_joystick
возьми джойстик,reconnect_joystick
подключись к джойстику,reconnect_joystick
подключи джойстик,reconnect_joystick
подключи контроллер,reconnect_joystick
возьми контроллер,reconnect_joystick
робот держи джойстик,reconnect_joystick
держи джойстик в руке,reconnect_joystick
возьми джойстик сейчас,reconnect_joystick
подключись к джойстику сейчас,reconnect_joystick
панда держи джойстик,reconnect_joystick
панда подключись,reconnect_joystick
робот возьми джойстик,reconnect_joystick
джойстик панда,reconnect_joystick
подключи джойстик робот,reconnect_joystick
пожалуйста держи джойстик,reconnect_joystick
возьми джойстик пожалуйста,reconnect_joystick
давай джойстик,reconnect_joystick
ну-ка джойстик,reconnect_joystick
а ну возьми джойстик,reconnect_joystick
эй джойстик,reconnect_joystick
ты держи джойстик,reconnect_joystick
подключись к контроллеру,reconnect_joystick
джойстик возьми,reconnect_joystick
быстро джойстик,reconnect_joystick
панда давай джойстик,reconnect_joystick
робот пожалуйста возьми джойстик,reconnect_joystick
подключись уже,reconnect_joystick
ну держи джойстик,reconnect_joystick
а теперь дай лапу,give_paw
